Text,Line,Errata,Corrige,Manually identified,OCR-supported
2,8,Waldfleden,Waldflecken,x,
,95,[entire line skipped],,x,
,110,Kompanie,Kompagnie,,x
5,108,seine,keine,,x
6,6,[absent],dafür,x,
,42,sachlich,falsch,x,
7,12,Lebens,Lesens,,x
,112,[absent],aber,x,
9,19,heiß,heißt,,x
10,110,Oesterrreich,Oesterreich,,x
11,26,[absent],her-vorgehn,x,
,42,-töchter,-Töchter,,x
,62,zu trotz,zu-trotz,x,
,135,geleistet,geleitet,,x
12,48,hetzen,hetzten,,x
,83,steht,sieht,,x
,160,läuft,lauft,x,
14,5,mehr,nur,x,
,19,so,solch,x,
,24,reicher,rascher,x,
,43,ja,Jahre,x,
,54,Durchführung,Buchführung,x,
,86,[absent],als,x,
,99,seinen,keinem,,x
,115,[absent],in,x,
,121,[absent],zahe,x,
,126,gleich,bleich,,x
15,22,[absent],auch,x,
,61,genährt,gemehrt,x,
,101,ungebärdigen,ungeberdigen,,x
16,2,[absent],Nöraler,x,
,6,raunzt,ranzt,,x
,17,war’s,wars,,x
,21,irgendetwas,irgend etwas,x,
,26,sieh,sie,x,
,65,irgendetwas,irgend etwas,x,
,86,wieder nichts,wiedernichts,x,
17,75,vorraussicht,voraussicht,,x
,84,solchem,solchen,x,
,101,werdend,werbend,,x
19,57,Prokrowskij,Prokrowskj,,x
,76,Femgericht,Fehmgericht,x,
20,34,selbstständiger,selbständiger,x,
,86,umso,um so,x,
,101,das,Das,x,
,111,umgebene,umgebende,,x
21,31,so fern,sofern,x,
,51,[absent],überhaupt noch,x,
,64,lichem und des südlichem,lichen und des südlichen,x,
,89,Nährfähigkeit,Wehrfähigkeit,x,
,100,vollständig,volkstümlich,x,
23,18,entfallen,entfalten,,x
,39,enziger,einziger,,x
24,22,lurfer,luxfer,,x
25,48,trudelnde,trubelnde,,x
,81,müßte,mußte,x,
,88,Hanotaur,Hanotaux,,x
29,93,außen her,außenher,x,
,120,beschlosse-ner,geschlosse-ner,x,
,132,weltbedrohten,meistbedrohten,x,
,141,hat,hatte,x,
,190,seinem,sestem,x,
30,91,Aufzudrüc-ken,Aufzudrük-ken,,x
,137,noch,nackt,x,
,173,Andere,Anderen,x,
32,77,Heeresstreifen,Heereskreisen,x,
33,12,mußo ffenbar,muß offenbar,x,
,68,an-derem,beson-derem,x,
34,30,[absent],dauernd,x,
,43,Verklährung,Verkehrung,x,
,64,letzen,letzten,,x
,68,entscheiden,entscheidend,,x
,157,am Ende,amende,x,
,172,acht,Acht,x,
35,164,zu,zur,,x
,193,gärt,gährt,,x
,210,zeit,Zeit,,x
37,33,gehen,gehn,x,
,44,neu gestärkter neugestärkter,neu-getärkter,x,
,46,allzu bequem,allzubequem,x,
38,2,[entire line skipped],,x,
,3,[entire line skipped],,x,
,7,letzten Mal,letzten-mal,x,
,64,gelingt,gewinnt,x,
